"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2023,"Evansville",43.5835351089588,348,17.298977081445,70,24.8638838475499,287,28.0871670702179,246
2023,"FIU",52.4247491638796,82,22.2516556291391,334,24.4897959183673,300,26.9230769230769,271
2023,"Fairfield",45.3508771929825,324,19.718211376429,233,29.3963254593176,172,42.4561403508772,15
2023,"Fairleigh Dickinson",49.370709382151,206,17.3425527938703,77,30.4015296367113,143,27.5743707093822,261
2023,"Florida",50.7161458333333,141,16.1733786187935,42,24.9443207126949,286,34.2447916666667,101
2023,"Florida A&M",42.0833333333333,355,25.4141139096891,360,24.6006389776358,296,23.3333333333333,336
2023,"Florida Atlantic",54.9475262368816,31,17.0235228135001,62,30.9090909090909,125,24.7376311844078,317
2023,"Florida Gulf Coast",50.6015037593985,148,18.5864205335694,155,30.7317073170732,133,33.2330827067669,127
2023,"Florida St.",47.8908188585608,262,18.4071160470975,146,27.6288659793814,219,32.258064516129,150
2023,"Fordham",51.0282776349614,134,20.3610594737564,267,27.4468085106383,224,39.7172236503856,32
2023,"Fresno St.",47.7001703577513,270,19.5342657593766,223,25.8426966292135,263,24.8722316865417,314
2023,"Furman",56.2594268476621,13,18.8790560471976,177,28.8828337874659,179,24.4343891402715,322
2023,"Gardner Webb",48.7664473684211,228,21.9185405459588,324,30.9973045822102,124,30.7565789473684,178
2023,"George Mason",54.6722454672245,37,21.1616515045486,298,31.042654028436,121,32.0781032078103,158
2023,"George Washington",53.6036036036036,57,17.6256970507347,99,25.3333333333333,272,34.0840840840841,104
2023,"Georgetown",50,170,17.9188147554933,117,31.9148936170213,97,31.1627906976744,173
2023,"Georgia",49.932157394844,173,21.0674552879876,296,35.4401805869075,24,35.1424694708277,80
2023,"Georgia Southern",47.0957613814757,286,16.0703248403269,35,24.7422680412371,289,22.9199372056515,343
2023,"Georgia St.",43.1660899653979,353,19.8774225608746,242,32.5648414985591,83,30.4498269896194,185
2023,"Georgia Tech",48.2912332838039,249,14.477732260665,8,27.6381909547739,218,26.7459138187221,277
2023,"Gonzaga",56.1224489795918,15,17.2879524581307,69,30.8584686774942,126,33.9285714285714,109
2023,"Grambling St.",46.5364120781528,301,21.801533374514,319,30,154,30.3730017761989,186
2023,"Grand Canyon",46.4963503649635,302,16.8040278356797,56,33.1034482758621,64,32.1167883211679,157
2023,"Green Bay",44.8644793152639,334,22.4956816325438,340,21.9088937093276,339,36.2339514978602,59
2023,"Hampton",44.4211994421199,340,17.5640112246827,93,26.7893660531697,240,37.5174337517434,47
2023,"Hartford",43.6808846761453,347,22.1230051445256,332,23.0024213075061,324,30.3317535545024,187
2023,"Harvard",49.0284005979073,219,20.9653827401268,289,30.4455445544554,142,31.8385650224215,160
2023,"Hawaii",49.837925445705,182,18.080187702712,124,32.3369565217391,89,30.7941653160454,177
2023,"High Point",49.9258160237389,175,18.6120065689435,157,30.188679245283,150,40.2077151335312,29
2023,"Hofstra",53.2608695652174,63,17.5814454933724,96,19.3236714975845,357,26.2228260869565,292
