TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
Cal St. Bakersfield,62.3749,362,63.2493,352,88.3521,348,92.7548,341,100.852,154,103.016,189,-10.2617,297
Cal St. Fullerton,65.0443,326,63.9101,346,96.9911,256,98.7621,249,104.424,226,103.145,195,-4.38256,230
Cal St. Northridge,65.9388,297,66.5324,278,96.0161,282,95.9496,307,105.823,257,108.049,296,-12.099,313
California,63.9857,349,62.5601,360,90.7308,334,95.0679,320,102.529,191,101.432,152,-6.36392,249
Campbell,65.8838,303,67.1555,254,100.64,198,100.224,216,105.183,245,105.748,255,-5.52414,237
Canisius,70.6917,94,69.9164,122,97.9,244,97.9316,265,112.369,333,106.569,274,-8.63783,274
Central Arkansas,72.9863,29,73.937,15,96.0623,280,97.5134,276,111.591,321,111.169,341,-13.6552,331
Central Connecticut,67.2433,251,66.316,286,94.8621,297,94.0278,334,108.481,296,109.626,323,-15.5985,340
Central Michigan,70.6591,95,70.1567,111,94.5562,302,96.2654,299,102.385,187,104.537,225,-8.27146,270
Charleston,71.1843,77,71.6028,53,110.632,36,107.66,67,97.694,107,99.557,122,8.10298,89
Charleston Southern,67.02,263,67.2654,247,103.117,149,100.896,202,117.363,359,113.055,357,-12.159,314
Charlotte,62.4971,360,61.1948,362,109.485,47,106.12,92,94.5124,68,99.5337,120,6.58636,101
Chattanooga,68.0222,220,67.9566,222,107.793,68,107.569,69,108.162,292,106.589,275,0.980676,152
Chicago St.,65.921,299,65.6888,304,98.2711,239,98.7377,251,110.302,313,110.51,335,-11.7727,310
Cincinnati,71.6952,56,70.6632,81,110.816,35,108.376,59,98.5968,114,97.2317,82,11.1439,68
Clemson,67.4185,248,69.4339,140,110.362,37,110.008,41,96.6915,94,97.8831,90,12.1254,64
Cleveland St.,64.2385,345,63.9662,345,103.039,151,100.077,219,103.073,201,103.862,213,-3.78504,224
Coastal Carolina,69.575,139,70.0496,115,101.702,177,100.97,199,108.897,302,104.538,226,-3.56767,216
Colgate,69.2365,159,68.8438,173,113.402,16,109.713,42,108.791,301,106.543,272,3.16958,128
Colorado,72.5125,39,71.351,56,105.023,112,108.527,57,95.5565,83,94.9167,53,13.6106,53
Colorado St.,68.5865,193,68.0823,211,106.005,92,108.249,60,100.847,153,101.449,153,6.80011,97
Columbia,69.3621,151,69.1952,151,89.5902,341,90.8603,353,102.127,181,106.85,280,-15.9892,343
Connecticut,70.7696,91,69.3739,142,116.945,5,115.827,7,83.6096,6,85.9688,4,29.858,2
Coppin St.,73.222,24,73.5246,19,99.6703,217,101.421,188,115.432,353,111.569,348,-10.1483,296
Cornell,71.8239,54,71.9341,43,114.699,11,108.168,61,104.111,219,105.669,252,2.49854,138
Creighton,71.2223,76,70.4179,94,108.094,63,110.393,37,95.0768,76,91.8399,26,18.5533,24
Dartmouth,69.9585,120,69.7902,130,89.4203,344,91.6066,347,100.33,146,103.582,205,-11.9759,311
Davidson,67.6018,235,67.7384,231,102.564,159,104.671,123,100.674,152,100.93,139,3.74087,121
Dayton,65.0675,324,65.0985,324,102.138,168,104.162,132,89.299,24,91.57,23,12.592,60
Delaware,67.5308,242,68.4384,193,105.453,104,103.358,149,108.626,299,106.794,278,-3.43582,212
Delaware St.,67.0045,264,68.9831,165,84.6558,358,86.5737,361,113.074,340,109.8,325,-23.2258,359
Denver,68.5201,198,69.5496,136,105.526,102,101.48,186,105.307,248,108.487,301,-7.00755,257
DePaul,70.6567,96,70.6393,82,101.159,186,105.532,104,104.699,234,102.068,166,3.46375,126
Detroit Mercy,67.835,227,68.6607,181,105.345,106,106.654,79,110.947,317,109.2,316,-2.5463,202
Drake,69.349,154,69.0371,162,103.29,145,104.73,122,95.3412,80,97.682,89,7.04786,95
Drexel,63.8667,350,64.6154,332,100.693,197,99.4992,236,96.9333,98,101.401,150,-1.9015,191
Duke,66.299,285,66.7,269,110.107,41,112.769,23,91.2625,37,92.4151,32,20.3534,17
Duquesne,68.2214,213,67.349,245,110.199,39,106.944,77,103.406,206,102.917,184,4.02683,120
East Carolina,68.9795,171,68.2282,209,103.775,131,99.2916,244,98.8073,119,101.258,145,-1.96606,192
East Tennessee St.,68.1271,216,68.2343,208,100.626,199,100.039,220,103.507,208,106.139,260,-6.09993,246
Eastern Illinois,70.3958,107,69.7846,131,89.5844,342,88.896,356,103.034,200,106.534,271,-17.6376,347
Eastern Kentucky,71.0338,82,70.6124,84,92.2064,324,97.1999,282,103.53,209,104.708,233,-7.5082,260
Eastern Michigan,71.4597,64,71.7719,46,103.416,141,101.351,190,114.221,346,112.004,351,-10.6532,300
Eastern Washington,69.7692,130,70.285,102,99.0913,228,101.661,183,101.672,171,103.781,211,-2.11991,197
Elon,68.7271,186,68.8556,172,92.6285,320,94.6078,329,110.631,315,110.485,334,-15.8771,341
Evansville,68.9554,173,69.6559,134,90.07,338,91.2676,348,104.098,218,104.632,230,-13.3647,326
Fairfield,65.0068,327,65.5553,307,96.2846,272,97.0374,287,102.588,193,103.398,201,-6.36067,248
Fairleigh Dickinson,70.4045,106,70.9099,72,103.61,137,100.303,215,110.851,316,114.264,362,-13.9608,333
FIU,75.5,5,74.3245,11,97.1156,253,96.3743,298,101.694,173,103.92,218,-7.54548,262
Florida,71.3423,69,71.9959,40,105.402,105,107.143,74,93.18,48,92.804,38,14.3393,44
Florida A&M,67.3292,249,66.7763,267,80.1238,361,87.312,358,118.757,361,109.12,315,-21.8083,357
Florida Atlantic,68.8886,175,68.5361,188,111.292,31,109.526,44,89.0102,22,93.3825,42,16.1431,36
Florida Gulf Coast,65.9083,301,66.6286,274,105.988,93,106.067,93,101.875,176,102.946,185,3.12092,129
Florida St.,69.4607,143,70.9433,71,99.1822,227,103.671,139,105.488,252,102.455,172,1.21571,151
Fordham,70.9057,86,70.9696,69,102.699,156,97.8383,268,93.2941,50,99.5524,121,-1.71407,188
Fresno St.,63.292,355,65.2759,320,95.7362,287,99.5212,235,96.968,100,97.1932,81,2.32801,140
Furman,71.267,72,70.8165,77,109.87,44,108.967,53,102.198,182,101.627,154,7.33959,93
Gardner Webb,68.0205,221,67.8355,226,96.0639,279,95.5097,317,95.8352,84,96.1966,66,-0.686841,176
George Mason,68.0508,219,66.6935,270,104.415,120,103.658,142,97.7777,108,98.1185,94,5.53939,109
George Washington,68.5552,197,69.1185,155,107.673,69,103.178,155,105.071,239,106.942,282,-3.76354,221
